Produto;valor;pct;pct_acumulado;classe_abc
PC000882;2572818,57;0,901336327421706;0,901336327421706;A
PC000244;2071871,6099999999;0,7258394235885421;1,627175751010248;A
PC000478;2050074,5;0,7182032352832755;2,3453789862935235;A
PC000931;1638425,36;0,5739900644206664;2,91936905071419;A
PC000278;1620494,93;0,5677084913188009;3,4870775420329907;A
PC000829;1594474,1;0,5585926058762201;4,0456701479092105;A
PC000818;1534331,79;0,5375229317646647;4,583193079673875;A
PC000449;1374217,73;0,48143012347582426;5,064623203149699;A
PC000890;1371469,34;0,48046727915488857;5,5450904823045875;A
PC000913;1339303,13;0,46919848083131477;6,014288963135902;A
PC000323;1304933,82;0,45715786980159184;6,471446832937494;A
PC000426;1299929,84;0,4554048239365304;6,926851656874025;A
PC000104;1299643,44;0,4553044893357219;7,382156146209747;A
PC000588;1251895,2;0,4385768336104874;7,820732979820234;A
PC000210;1219797,01;0,4273318647546058;8,24806484457484;A
PC000186;1217475,71;0,4265186430058044;8,674583487580644;A
PC000819;1190146,5;0,41694439239211395;9,091527879972759;A
PC000495;1174043,15;0,41130290079319937;9,502830780765958;A
PC000420;1146381,74;0,40161227045049863;9,904443051216457;A
PC000980;1131791,91;0,39650101078250455;10,300944061998962;A
PC000156;1124706,59;0,39401880842985004;10,694962870428812;A
PC000684;1121768,06;0,3929893523037546;11,087952222732566;A
PC000224;1107761,74;0,38808251387499854;11,476034736607565;A
PC000016;1099134,63;0,3850601757535572;11,861094912361121;A
PC000052;1093760,48;0,3831774481176115;12,244272360478734;A
PC000061;1082629,3900000001;0,37927788990632244;12,623550250385057;A
PC000690;1079444,46;0,37816211239182196;13,001712362776878;A
PC000036;1075362,01;0,3767319064174136;13,378444269194292;A
PC000416;1063158,8699999999;0,3724567765971974;13,750901045791489;A
PC000003;1054493,86;0,36942116095700395;14,120322206748492;A
PC000780;1053988,67;0,3692441775876518;14,489566384336143;A
PC000897;1025839,91;0,3593828137683309;14,848949198104474;A
PC000762;1021020,5800000001;0,35769445639502684;15,206643654499501;A
PC000295;1016752,35;0,35619916605561075;15,562842820555112;A
PC000144;1009193,74;0,3535511558704958;15,916393976425608;A
PC000905;1004266,41;0,35182496282370246;16,268218939249312;A
PC000007;991587,61;0,347383194888191;16,615602134137504;A
PC000640;970446,6900000001;0,33997688982909935;16,955579023966603;A
PC000470;967624,58;0,33898821915770405;17,294567243124305;A
PC000425;966371,13;0,3385490976305275;17,63311634075483;A
PC000730;965316,35;0,33817957622605554;17,971295916980885;A
PC000357;963658,37;0,3375987355785401;18,308894652559424;A
PC000845;942157,15;0,3300662065087246;18,63896085906815;A
PC000613;941139,02;0,3297095247101173;18,968670383778267;A
PC000701;936173,9199999999;0,32797009968751195;19,29664048346578;A
PC000356;933468,48;0,3270223020533944;19,623662785519173;A
PC000674;931934,97;0,32648506701957525;19,95014785253875;A
PC000451;931796,89;0,3264366934103587;20,276584545949106;A
PC000310;923948,02;0,3236869963494383;20,600271542298543;A
PC000620;913319,33;0,31996344408593613;20,92023498638448;A
PC000368;910066,27;0,31882379856740956;21,239058784951887;A
PC000512;896029,54;0,3139063065939239;21,55296509154581;A
PC000896;888258,18;0,3111837636353382;21,86414885518115;A
PC000547;874198,6;0,30625826661426697;22,170407121795417;A
PC000775;871127,16;0,3051822480866581;22,475589369882076;A
PC000376;868297,7;0,3041910024874837;22,77978037236956;A
PC000720;867824,5;0,30402522618475125;23,083805598554314;A
PC000271;858593,2999999999;0,30079125702629045;23,384596855580604;A
PC000141;857965,5;0,3005713196576188;23,68516817523822;A
PC000849;851506,22;0,2983084380922901;23,983476613330513;A
PC000982;843596,49;0,29553741992869786;24,279014033259212;A
PC000713;839970,23;0,29426703113844743;24,57328106439766;A
PC000304;836874,47;0,2931824925776973;24,866463556975354;A
PC000108;836341,98;0,2929959451908799;25,159459502166236;A
PC000456;812985,09;0,2848133186745481;25,444272820840784;A
PC000365;811486,5499999999;0,28428833469167264;25,728561155532457;A
PC000773;809986,57;0,2837628462331507;26,01232400176561;A
PC000606;798004,05;0,27956500628594555;26,291889008051555;A
PC000828;784180,27;0,2747221171519925;26,566611125203547;A
PC000184;778763,6;0,272824493471262;26,83943561867481;A
PC000693;770464,09;0,26991692355940466;27,109352542234213;A
PC000883;767214,86;0,2687786198059657;27,378131162040177;A
PC000143;761127,91;0,2666461767249911;27,644777338765167;A
PC000012;759924,54;0,26622459973974355;27,91100193850491;A
PC000725;756692,48;0,26509231115772874;28,17609424966264;A
PC000616;755088,38;0,2645303463073207;28,44062459596996;A
PC000682;746407,51;0,2614891744284092;28,70211377039837;A
PC000957;732264,34;0,25653439329671796;28,958648163695088;A
PC000389;730747,48;0,25600299126256176;29,21465115495765;A
PC000802;730707,31;0,2559889184940056;29,470640073451655;A
PC000010;727408,99;0,2548334170256446;29,7254734904773;A
PC000221;726923,89;0,2546634717922221;29,980136962269523;A
PC000903;719271,99;0,25198277929247925;30,232119741562002;A
PC000131;717011,64;0,2511909101760776;30,48331065173808;A
PC000618;716260,99;0,250927934728812;30,73423858646689;A
PC000272;714697,0599999999;0,25038004264696;30,98461862911385;A
PC000460;712760,42;0,24970157895523615;31,234320208069086;A
PC000150;711156,83;0,2491397927732862;31,48346000084237;A
PC000399;709103,86;0,24842057515659008;31,73188057599896;A
PC000675;707610,69;0,24789747244747976;31,97977804844644;A
PC000229;703394,07;0,24642026265536726;32,22619831110181;A
PC000520;702538,87;0,2461206601741822;32,472318971275996;A
PC000080;702417,73;0,24607822116041847;32,71839719243641;A
PC000089;702283,4199999999;0,24603116829647084;32,96442836073288;A
PC000015;699145,42;0,24493183178342276;33,20936019251631;A
PC000874;699080,05;0,24490893069105246;33,45426912320736;A
PC000907;698327,94;0,24464544376153405;33,698914566968895;A
PC000631;694209,19;0,2432025207968696;33,942117087765766;A
PC000854;693753,87;0,2430430084000815;34,185160096165845;A
PC000145;692350,96;0,2425515265047595;34,42771162267061;A
PC000181;686956,87;0,24066181328243072;34,668373435953036;A
PC000331;686729,59;0,2405821902095545;34,90895562616259;A
PC000806;683249,18;0,23936289709502998;35,148318523257615;A
PC000429;667724,33;0,23392407158049985;35,38224259483812;A
PC000871;661877,65;0,23187580236312946;35,614118397201246;A
